year,month,usd
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1998,12,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,830
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,-560
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,1,1660
1999,2,3560
1999,2,1660
1999,2,1660
1999,2,1780
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1110
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1780
1999,2,1660
1999,2,8340
1999,2,1660
1999,2,830
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,2,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1110
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1660
1999,3,1110
1999,3,1110
1999,3,1660
1999,3,1660
1999,3,1110
1999,4,1660
1999,4,1660
1999,4,1940
1999,4,1660
1999,4,1660
1999,4,1940
1999,4,1660
1999,4,1110
1999,4,1110
1999,4,1660
1999,4,1660
1999,4,1110
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1110
1999,4,1660
1999,4,1110
1999,4,1390
1999,4,1110
1999,4,1940
1999,4,1940
1999,4,1660
1999,4,1940
1999,4,1660
1999,4,1660
1999,4,1940
1999,4,1660
1999,4,1110
1999,4,1940
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1940
1999,4,1660
1999,4,1660
1999,4,1660
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,830
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1940
1999,4,1390
1999,4,1940
1999,4,1940
1999,4,830
1999,4,1390
1999,4,1390
1999,4,1660
1999,5,1940
1999,5,1110
1999,5,1940
1999,5,1940
1999,5,1940
1999,5,1940
1999,5,1660
1999,5,1940
1999,5,1940
1999,5,1780
1999,5,1940
1999,5,1660
1999,5,1660
1999,5,-1670
1999,5,1660
1999,5,1660
1999,5,1940
